"Gene","Base Mean","log2FC","LFC SE","p-value","FDR","Significant?","Ensembl ID","Symbol","MAP locus","Gene type","Gene description"
"ENSG00000250761",23.318,-0.137,0.383,"5.83e-01","7.95e-01","No","ENSG00000250761",NA,NA,NA,NA
"ENSG00000251003",33.654,-0.137,0.44,"5.85e-01","7.97e-01","No","ENSG00000251003",NA,NA,NA,NA
"GPR6",18.295,-0.137,0.438,"5.85e-01","7.97e-01","No","ENSG00000146360","GPR6","6q21","protein-coding","G protein-coupled receptor 6"
"AR",24.41,-0.137,0.395,"5.86e-01","7.97e-01","No","ENSG00000169083","AR","Xq12","protein-coding","androgen receptor"
"ENSG00000294683",27.142,-0.137,0.421,"5.87e-01","7.98e-01","No","ENSG00000294683",NA,NA,NA,NA
"ENSG00000237249",8.728,-0.137,0.47,"5.73e-01"," NA","No","ENSG00000237249",NA,NA,NA,NA
"ENSG00000241042",15.099,-0.137,0.423,"5.87e-01"," NA","No","ENSG00000241042",NA,NA,NA,NA
"ENSG00000260395",11.079,-0.137,0.464,"5.76e-01"," NA","No","ENSG00000260395",NA,NA,NA,NA
"ENSG00000269304",17.092,-0.137,0.425,"5.88e-01"," NA","No","ENSG00000269304",NA,NA,NA,NA
"ENSG00000270815",8.399,-0.137,0.499,"5.48e-01"," NA","No","ENSG00000270815",NA,NA,NA,NA
"ENSG00000272186",7.571,-0.137,0.496,"5.50e-01"," NA","No","ENSG00000272186",NA,NA,NA,NA
"ENSG00000287026",16.073,-0.137,0.425,"5.88e-01"," NA","No","ENSG00000287026",NA,NA,NA,NA
"HEPH",10.53,-0.137,0.453,"5.81e-01"," NA","No","ENSG00000089472","HEPH","Xq12","protein-coding","hephaestin"
"RN7SL39P",9.422,-0.137,0.47,"5.74e-01"," NA","No","ENSG00000241223","RN7SL39P","18p11.31","pseudo","RNA, 7SL, cytoplasmic 39, pseudogene"
"ZNF724",12.288,-0.137,0.457,"5.79e-01"," NA","No","ENSG00000283201","ZNF724","19p12","protein-coding","zinc finger protein 724"
"ZNF724",12.288,-0.137,0.457,"5.79e-01"," NA","No","ENSG00000196081","ZNF724","19p12","protein-coding","zinc finger protein 724"
"CPEB3",665.341,-0.138,0.253,"4.76e-01","7.26e-01","No","ENSG00000107864","CPEB3","10q23.32","protein-coding","cytoplasmic polyadenylation element binding protein 3"
"EDEM1",273.927,-0.138,0.268,"4.95e-01","7.39e-01","No","ENSG00000134109","EDEM1","3p26.1","protein-coding","ER degradation enhancing alpha-mannosidase like protein 1"
"ASH2L",258.23,-0.138,0.269,"4.96e-01","7.40e-01","No","ENSG00000129691","ASH2L","8p11.23","protein-coding","ASH2 like, histone lysine methyltransferase complex subunit"
"MTSS1",317.805,-0.138,0.28,"5.12e-01","7.50e-01","No","ENSG00000170873","MTSS1","8q24.13","protein-coding","MTSS I-BAR domain containing 1"
"KDSR",172.567,-0.138,0.296,"5.27e-01","7.59e-01","No","ENSG00000119537","KDSR","18q21.33","protein-coding","3-ketodihydrosphingosine reductase"
"ZNF283",282.263,-0.138,0.3,"5.32e-01","7.63e-01","No","ENSG00000167637","ZNF283","19q13.31","protein-coding","zinc finger protein 283"
"ENSG00000286327",139.49,-0.138,0.306,"5.36e-01","7.65e-01","No","ENSG00000286327",NA,NA,NA,NA
"ENSG00000287762",93.451,-0.138,0.325,"5.52e-01","7.76e-01","No","ENSG00000287762",NA,NA,NA,NA
"ENSG00000269944",17.974,-0.138,0.483,"5.61e-01","7.82e-01","No","ENSG00000269944",NA,NA,NA,NA
"ENSG00000269924",53.587,-0.138,0.346,"5.65e-01","7.85e-01","No","ENSG00000269924",NA,NA,NA,NA
"LNCBRM",64.869,-0.138,0.359,"5.72e-01","7.89e-01","No","ENSG00000249436","LNCBRM","5q11.2","ncRNA","lncRNA SMARCA2 (BRM) associated"
"ENSG00000281021",27.893,-0.138,0.369,"5.77e-01","7.91e-01","No","ENSG00000281021",NA,NA,NA,NA
"ENSG00000187481",35.382,-0.138,0.384,"5.82e-01","7.95e-01","No","ENSG00000187481",NA,NA,NA,NA
"CYP3A7",23.588,-0.138,0.431,"5.83e-01","7.96e-01","No","ENSG00000160870","CYP3A7","7q22.1","protein-coding","cytochrome P450 family 3 subfamily A member 7"
"ENSG00000305547",36.598,-0.138,0.43,"5.84e-01","7.97e-01","No","ENSG00000305547",NA,NA,NA,NA
"BMPR1B",25.453,-0.138,0.419,"5.86e-01","7.97e-01","No","ENSG00000138696","BMPR1B","4q22.3","protein-coding","bone morphogenetic protein receptor type 1B"
"LINC03063",27.106,-0.138,0.422,"5.86e-01","7.97e-01","No","ENSG00000236213","LINC03063","2p22.2","ncRNA","long intergenic non-protein coding RNA 3063"
"ENSG00000302755",24.641,-0.138,0.413,"5.86e-01","7.98e-01","No","ENSG00000302755",NA,NA,NA,NA
"ENSG00000233542",13.736,-0.138,0.414,"5.84e-01"," NA","No","ENSG00000233542",NA,NA,NA,NA
"ENSG00000286485",17.543,-0.138,0.404,"5.86e-01"," NA","No","ENSG00000286485",NA,NA,NA,NA
"ENSG00000289033",7.56,-0.138,0.492,"5.52e-01"," NA","No","ENSG00000289033",NA,NA,NA,NA
"ENSG00000304299",11.417,-0.138,0.447,"5.80e-01"," NA","No","ENSG00000304299",NA,NA,NA,NA
"TM7SF3",253.102,-0.139,0.272,"5.00e-01","7.42e-01","No","ENSG00000064115","TM7SF3","12p11.23","protein-coding","transmembrane 7 superfamily member 3"
"ARHGAP20",534.709,-0.139,0.279,"5.07e-01","7.47e-01","No","ENSG00000137727","ARHGAP20","11q22.3-q23.1","protein-coding","Rho GTPase activating protein 20"
"AEBP2",624.377,-0.139,0.283,"5.11e-01","7.49e-01","No","ENSG00000139154","AEBP2","12p12.3","protein-coding","AE binding protein 2"
"NME7",262.747,-0.139,0.297,"5.26e-01","7.59e-01","No","ENSG00000143156","NME7","1q24.2","protein-coding","NME/NM23 family member 7"
"CROT",117.509,-0.139,0.31,"5.37e-01","7.66e-01","No","ENSG00000005469","CROT","7q21.12","protein-coding","carnitine O-octanoyltransferase"
"TMEM39A",136.243,-0.139,0.315,"5.43e-01","7.70e-01","No","ENSG00000176142","TMEM39A","3q13.33","protein-coding","transmembrane protein 39A"
"ENSG00000293824",138.01,-0.139,0.318,"5.46e-01","7.72e-01","No","ENSG00000293824",NA,NA,NA,NA
"COQ7",88.65,-0.139,0.319,"5.47e-01","7.73e-01","No","ENSG00000167186","COQ7","16p12.3","protein-coding","coenzyme Q7, hydroxylase"
"SLC25A23",408.714,-0.139,0.32,"5.47e-01","7.73e-01","No","ENSG00000125648","SLC25A23","19p13.3","protein-coding","solute carrier family 25 member 23"
"CUBN",66.913,-0.139,0.326,"5.50e-01","7.74e-01","No","ENSG00000107611","CUBN","10p13","protein-coding","cubilin"
"PARD6B",86.006,-0.139,0.324,"5.50e-01","7.74e-01","No","ENSG00000124171","PARD6B","20q13.13","protein-coding","par-6 family cell polarity regulator beta"
"ATP7A",100.523,-0.139,0.33,"5.54e-01","7.78e-01","No","ENSG00000165240","ATP7A","Xq21.1","protein-coding","ATPase copper transporting alpha"
"ZNF582",38.574,-0.139,0.351,"5.65e-01","7.85e-01","No","ENSG00000018869","ZNF582","19q13.43","protein-coding","zinc finger protein 582"
"LINC02930",107.683,-0.139,0.36,"5.70e-01","7.88e-01","No","ENSG00000274461","LINC02930","10q26.12","ncRNA","long intergenic non-protein coding RNA 2930"
"ENSG00000301670",28.944,-0.139,0.361,"5.72e-01","7.89e-01","No","ENSG00000301670",NA,NA,NA,NA
"ENSG00000295084",42.894,-0.139,0.368,"5.73e-01","7.89e-01","No","ENSG00000295084",NA,NA,NA,NA
"LOC100422627",134.292,-0.139,0.371,"5.74e-01","7.90e-01","No","ENSG00000234841","LOC100422627","4q25","pseudo","TATA-box binding protein associated factor 4b pseudogene"
"ENSG00000236636",32.393,-0.139,0.369,"5.74e-01","7.90e-01","No","ENSG00000236636",NA,NA,NA,NA
"CCDC192",32.744,-0.139,0.372,"5.76e-01","7.91e-01","No","ENSG00000230561","CCDC192","5q23.2-q23.3","protein-coding","coiled-coil domain containing 192"
"ENSG00000296981",30.135,-0.139,0.384,"5.79e-01","7.94e-01","No","ENSG00000296981",NA,NA,NA,NA
"ENSG00000309617",22.765,-0.139,0.386,"5.80e-01","7.94e-01","No","ENSG00000309617",NA,NA,NA,NA
"H2BC12",20.081,-0.139,0.438,"5.81e-01","7.95e-01","No","ENSG00000197903","H2BC12","6p22.1","protein-coding","H2B clustered histone 12"
"ENSG00000232260",9.504,-0.139,0.446,"5.77e-01"," NA","No","ENSG00000232260",NA,NA,NA,NA
"ENSG00000240959",13.337,-0.139,0.45,"5.77e-01"," NA","No","ENSG00000240959",NA,NA,NA,NA
"ENSG00000272768",14.534,-0.139,0.428,"5.83e-01"," NA","No","ENSG00000272768",NA,NA,NA,NA
"ENSG00000274317",14.577,-0.139,0.421,"5.84e-01"," NA","No","ENSG00000274317",NA,NA,NA,NA
"ENSG00000286074",7.864,-0.139,0.482,"5.59e-01"," NA","No","ENSG00000286074",NA,NA,NA,NA
"ENSG00000295553",9.076,-0.139,0.472,"5.67e-01"," NA","No","ENSG00000295553",NA,NA,NA,NA
"ENSG00000302577",7.061,-0.139,0.512,"5.24e-01"," NA","No","ENSG00000302577",NA,NA,NA,NA
"ENSG00000304780",10.984,-0.139,0.431,"5.82e-01"," NA","No","ENSG00000304780",NA,NA,NA,NA
"ENSG00000308518",8.516,-0.139,0.471,"5.67e-01"," NA","No","ENSG00000308518",NA,NA,NA,NA
"JAGN1",17.744,-0.139,0.407,"5.82e-01"," NA","No","ENSG00000171135","JAGN1","3p25.3","protein-coding","jagunal homolog 1"
"LOC105372165",12.876,-0.139,0.424,"5.83e-01"," NA","No","ENSG00000283667","LOC105372165","18q22.1","ncRNA","uncharacterized LOC105372165"
"RNU6-37P",703.255,-0.139,0.559," NA"," NA","No","ENSG00000199562","RNU6-37P","1p36.22","pseudo","RNA, U6 small nuclear 37, pseudogene"
"RPS15AP23",13.968,-0.139,0.432,"5.81e-01"," NA","No","ENSG00000235429","RPS15AP23","7q33","pseudo","ribosomal protein S15a pseudogene 23"
"NSD1",1420.704,-0.14,0.244,"4.55e-01","7.11e-01","No","ENSG00000165671","NSD1","5q35.3","protein-coding","nuclear receptor binding SET domain protein 1"
"CCDC174",307.53,-0.14,0.264,"4.83e-01","7.31e-01","No","ENSG00000154781","CCDC174","3p25.1","protein-coding","coiled-coil domain containing 174"
"MRPS5",278.052,-0.14,0.269,"4.91e-01","7.36e-01","No","ENSG00000144029","MRPS5","2q11.1","protein-coding","mitochondrial ribosomal protein S5"
"METTL15",170.099,-0.14,0.286,"5.12e-01","7.50e-01","No","ENSG00000169519","METTL15","11p14.1","protein-coding","methyltransferase 15, mitochondrial 12S rRNA N4-cytidine"
"AIRIM",76.752,-0.14,0.306,"5.30e-01","7.61e-01","No","ENSG00000116922","AIRIM","1p34.3","protein-coding","AFG2 interacting ribosome maturation factor"
"ZNF880",168.376,-0.14,0.305,"5.31e-01","7.61e-01","No","ENSG00000221923","ZNF880","19q13.41","protein-coding","zinc finger protein 880"
"CPEB1-AS1",68,-0.14,0.311,"5.36e-01","7.65e-01","No","ENSG00000259462","CPEB1-AS1","15q25.2","ncRNA","CPEB1 antisense RNA 1"
"DSN1",80.042,-0.14,0.317,"5.42e-01","7.69e-01","No","ENSG00000149636","DSN1","20q11.23","protein-coding","DSN1 component of MIS12 kinetochore complex"
"CDIP1",303.664,-0.14,0.324,"5.47e-01","7.72e-01","No","ENSG00000089486","CDIP1","16p13.3","protein-coding","cell death inducing p53 target 1"
"JPX",508.532,-0.14,0.345,"5.61e-01","7.82e-01","No","ENSG00000225470","JPX","Xq13.2","ncRNA","JPX transcript, XIST activator"
"LCMT2",33.598,-0.14,0.346,"5.61e-01","7.82e-01","No","ENSG00000168806","LCMT2","15q15.3","protein-coding","leucine carboxyl methyltransferase 2"
"CIITA",105.023,-0.14,0.362,"5.70e-01","7.88e-01","No","ENSG00000179583","CIITA","16p13.13","protein-coding","class II major histocompatibility complex transactivator"
"LOC105375556",39.151,-0.14,0.375,"5.73e-01","7.89e-01","No","ENSG00000230190","LOC105375556","7q35","ncRNA","uncharacterized LOC105375556"
"TBC1D8B",51.867,-0.14,0.373,"5.73e-01","7.89e-01","No","ENSG00000133138","TBC1D8B","Xq22.3","protein-coding","TBC1 domain family member 8B"
"USP38-DT",26.886,-0.14,0.377,"5.75e-01","7.91e-01","No","ENSG00000250326","USP38-DT","4q31.21","ncRNA","USP38 divergent transcript"
"ENSG00000274698",18.458,-0.14,0.386,"5.77e-01","7.92e-01","No","ENSG00000274698",NA,NA,NA,NA
"ENSG00000287367",22.589,-0.14,0.436,"5.78e-01","7.93e-01","No","ENSG00000287367",NA,NA,NA,NA
"ENSG00000259924",102.654,-0.14,0.408,"5.80e-01","7.94e-01","No","ENSG00000259924",NA,NA,NA,NA
"ENSG00000258647",29.65,-0.14,0.403,"5.81e-01","7.94e-01","No","ENSG00000258647",NA,NA,NA,NA
"LINC00887",21.801,-0.14,0.407,"5.81e-01","7.94e-01","No","ENSG00000214145","LINC00887","3q29","ncRNA","long intergenic non-protein coding RNA 887"
"CD72",11.711,-0.14,0.449,"5.74e-01"," NA","No","ENSG00000137101","CD72","9p13.3","protein-coding","CD72 molecule"
"ENSG00000237863",13.182,-0.14,0.428,"5.78e-01"," NA","No","ENSG00000237863",NA,NA,NA,NA
"ENSG00000251276",14.859,-0.14,0.462,"5.69e-01"," NA","No","ENSG00000251276",NA,NA,NA,NA
"ENSG00000251391",12.145,-0.14,0.429,"5.80e-01"," NA","No","ENSG00000251391",NA,NA,NA,NA
"ENSG00000276868",17.575,-0.14,0.414,"5.81e-01"," NA","No","ENSG00000276868",NA,NA,NA,NA
"ENSG00000279344",12.535,-0.14,0.436,"5.79e-01"," NA","No","ENSG00000279344",NA,NA,NA,NA
"ENSG00000294101",10.881,-0.14,0.438,"5.78e-01"," NA","No","ENSG00000294101",NA,NA,NA,NA
"ENSG00000297001",9.673,-0.14,0.455,"5.72e-01"," NA","No","ENSG00000297001",NA,NA,NA,NA
"GARIN5A",10.533,-0.14,0.457,"5.71e-01"," NA","No","ENSG00000142530","GARIN5A","19q13.33","protein-coding","golgi associated RAB2 interactor 5A"
"LINC01539",12.8,-0.14,0.431,"5.80e-01"," NA","No","ENSG00000267712","LINC01539","18q21.2","ncRNA","long intergenic non-protein coding RNA 1539"
"LOC100419572",9.238,-0.14,0.443,"5.78e-01"," NA","No","ENSG00000248196","LOC100419572","4q22.1","pseudo","uracil DNA glycosylase pseudogene"
"PDCD1LG2",10.922,-0.14,0.439,"5.77e-01"," NA","No","ENSG00000197646","PDCD1LG2","9p24.1","protein-coding","programmed cell death 1 ligand 2"
"SMAGP",11.631,-0.14,0.486,"5.53e-01"," NA","No","ENSG00000170545","SMAGP","12q13.13","protein-coding","small cell adhesion glycoprotein"
"GRIK2",2981.023,-0.141,0.264,"4.80e-01","7.29e-01","No","ENSG00000164418","GRIK2","6q16.3","protein-coding","glutamate ionotropic receptor kainate type subunit 2"
"CELF2",3279.595,-0.141,0.267,"4.86e-01","7.32e-01","No","ENSG00000048740","CELF2","10p14","protein-coding","CUGBP Elav-like family member 2"
"RSRC1",454.634,-0.141,0.27,"4.91e-01","7.36e-01","No","ENSG00000174891","RSRC1","3q25.32","protein-coding","arginine and serine rich coiled-coil 1"
"PAQR3",380.733,-0.141,0.274,"4.95e-01","7.39e-01","No","ENSG00000163291","PAQR3","4q21.21","protein-coding","progestin and adipoQ receptor family member 3"
"NMT2",618.031,-0.141,0.282,"5.05e-01","7.46e-01","No","ENSG00000152465","NMT2","10p13","protein-coding","N-myristoyltransferase 2"
"PRMT9",246.696,-0.141,0.285,"5.06e-01","7.46e-01","No","ENSG00000164169","PRMT9","4q31.23","protein-coding","protein arginine methyltransferase 9"
"BFAR",128.927,-0.141,0.289,"5.13e-01","7.51e-01","No","ENSG00000103429","BFAR","16p13.12","protein-coding","bifunctional apoptosis regulator"
"BICRAL",463.422,-0.141,0.296,"5.18e-01","7.54e-01","No","ENSG00000112624","BICRAL","6p21.1","protein-coding","BICRA like chromatin remodeling complex associated protein"
"TDRP",159.251,-0.141,0.3,"5.23e-01","7.57e-01","No","ENSG00000180190","TDRP","8p23.3","protein-coding","testis development related protein"
"ENSG00000228027",217.987,-0.141,0.3,"5.24e-01","7.58e-01","No","ENSG00000228027",NA,NA,NA,NA
"ARHGEF6",189.919,-0.141,0.303,"5.27e-01","7.59e-01","No","ENSG00000129675","ARHGEF6","Xq26.3","protein-coding","Rac/Cdc42 guanine nucleotide exchange factor 6"
"RIOK1",152.888,-0.141,0.313,"5.34e-01","7.63e-01","No","ENSG00000124784","RIOK1","6p24.3","protein-coding","RIO kinase 1"
"HYLS1",56.932,-0.141,0.314,"5.36e-01","7.65e-01","No","ENSG00000198331","HYLS1","11q24.2","protein-coding","HYLS1 centriolar and ciliogenesis associated"
"ABCG1",529.202,-0.141,0.321,"5.42e-01","7.69e-01","No","ENSG00000160179","ABCG1","21q22.3","protein-coding","ATP binding cassette subfamily G member 1"
"E2F6",79.637,-0.141,0.328,"5.48e-01","7.73e-01","No","ENSG00000169016","E2F6","2p25.1","protein-coding","E2F transcription factor 6"
"ZFYVE16",921.162,-0.141,0.342,"5.55e-01","7.79e-01","No","ENSG00000039319","ZFYVE16","5q14.1","protein-coding","zinc finger FYVE-type containing 16"
"TMEM128",50.814,-0.141,0.355,"5.63e-01","7.83e-01","No","ENSG00000132406","TMEM128","4p16.3","protein-coding","transmembrane protein 128"
"DACH1",40.161,-0.141,0.363,"5.67e-01","7.86e-01","No","ENSG00000276644","DACH1","13q21.33","protein-coding","dachshund family transcription factor 1"
"PSMB6",78.056,-0.141,0.376,"5.71e-01","7.88e-01","No","ENSG00000142507","PSMB6","17p13.2","protein-coding","proteasome 20S subunit beta 6"
"ENSG00000274776",71.938,-0.141,0.372,"5.71e-01","7.88e-01","No","ENSG00000274776",NA,NA,NA,NA
"ENSG00000278861",19.253,-0.141,0.44,"5.74e-01","7.90e-01","No","ENSG00000278861",NA,NA,NA,NA
"RFPL4AP4",20.021,-0.141,0.439,"5.76e-01","7.91e-01","No","ENSG00000270387","RFPL4AP4","4q31.23","pseudo","ret finger protein like 4A pseudogene 4"
"LOC101927141",34.187,-0.141,0.402,"5.77e-01","7.91e-01","No","ENSG00000254394","LOC101927141","8q21.13","ncRNA","uncharacterized LOC101927141"
"SLC35F4",30.546,-0.141,0.416,"5.77e-01","7.92e-01","No","ENSG00000151812","SLC35F4","14q22.3-q23.1","protein-coding","solute carrier family 35 member F4"
"ENSG00000294100",28.184,-0.141,0.422,"5.78e-01","7.92e-01","No","ENSG00000294100",NA,NA,NA,NA
"COL8A1",13.316,-0.141,0.43,"5.76e-01"," NA","No","ENSG00000144810","COL8A1","3q12.1","protein-coding","collagen type VIII alpha 1 chain"
"ENSG00000224830",9.638,-0.141,0.469,"5.62e-01"," NA","No","ENSG00000224830",NA,NA,NA,NA
"ENSG00000259241",16.204,-0.141,0.416,"5.77e-01"," NA","No","ENSG00000259241",NA,NA,NA,NA
"MIR1273H",10.799,-0.141,0.434,"5.77e-01"," NA","No","ENSG00000274466","MIR1273H","16p12.1","ncRNA","microRNA 1273h"
"PBRM1",738.852,-0.142,0.25,"4.57e-01","7.13e-01","No","ENSG00000163939","PBRM1","3p21.1","protein-coding","polybromo 1"
"ZNF398",578.113,-0.142,0.256,"4.67e-01","7.21e-01","No","ENSG00000197024","ZNF398","7q36.1","protein-coding","zinc finger protein 398"
"MPHOSPH6",442.589,-0.142,0.268,"4.85e-01","7.32e-01","No","ENSG00000135698","MPHOSPH6","16q23.3","protein-coding","M-phase phosphoprotein 6"
"ZNF841",440.564,-0.142,0.276,"4.95e-01","7.39e-01","No","ENSG00000197608","ZNF841","19q13.41","protein-coding","zinc finger protein 841"
"ENAH",729.11,-0.142,0.276,"4.95e-01","7.39e-01","No","ENSG00000154380","ENAH","1q42.12","protein-coding","ENAH actin regulator"
"STAM",219.89,-0.142,0.282,"5.03e-01","7.45e-01","No","ENSG00000136738","STAM","10p12.33","protein-coding","signal transducing adaptor molecule"
"GPRASP2",393.28,-0.142,0.299,"5.19e-01","7.55e-01","No","ENSG00000158301",NA,NA,NA,NA
"APTR",76.045,-0.142,0.307,"5.26e-01","7.59e-01","No","ENSG00000214293","APTR","7q11.23","ncRNA","Alu-mediated CDKN1A/p21 transcriptional regulator"
"ENSG00000231881",145.133,-0.142,0.324,"5.41e-01","7.68e-01","No","ENSG00000231881",NA,NA,NA,NA
"ENSG00000263307",136.218,-0.142,0.324,"5.41e-01","7.68e-01","No","ENSG00000263307",NA,NA,NA,NA
"PBDC1",94.612,-0.142,0.324,"5.41e-01","7.68e-01","No","ENSG00000102390","PBDC1","Xq13.3","protein-coding","polysaccharide biosynthesis domain containing 1"
"SYT9-AS1",109.801,-0.142,0.328,"5.43e-01","7.69e-01","No","ENSG00000251364","SYT9-AS1","11p15.4","ncRNA","SYT9 antisense RNA 1"
"MX1",172.115,-0.142,0.333,"5.48e-01","7.73e-01","No","ENSG00000157601","MX1","21q22.3","protein-coding","MX dynamin like GTPase 1"
"ENSG00000287100",119.228,-0.142,0.343,"5.53e-01","7.77e-01","No","ENSG00000287100",NA,NA,NA,NA
"PRDX2",128.6,-0.142,0.352,"5.58e-01","7.80e-01","No","ENSG00000167815","PRDX2","19p13.13","protein-coding","peroxiredoxin 2"
"ENSG00000276058",138.33,-0.142,0.356,"5.61e-01","7.82e-01","No","ENSG00000276058",NA,NA,NA,NA
"ENSG00000224415",80.575,-0.142,0.365,"5.63e-01","7.83e-01","No","ENSG00000224415",NA,NA,NA,NA
"FXYD2",62.77,-0.142,0.369,"5.66e-01","7.85e-01","No","ENSG00000137731","FXYD2","11q23.3","protein-coding","FXYD domain containing ion transport regulator 2"
"ARHGEF39",21.2,-0.142,0.379,"5.70e-01","7.88e-01","No","ENSG00000137135","ARHGEF39","9p13.3","protein-coding","Rho guanine nucleotide exchange factor 39"
"ENSG00000236375",23.944,-0.142,0.379,"5.70e-01","7.88e-01","No","ENSG00000236375",NA,NA,NA,NA
"ENSG00000287650",120.096,-0.142,0.39,"5.72e-01","7.89e-01","No","ENSG00000287650",NA,NA,NA,NA
"IFT70A",30.621,-0.142,0.424,"5.74e-01","7.90e-01","No","ENSG00000197557","IFT70A","2q31.2","protein-coding","intraflagellar transport 70A"
"ENSG00000233797",53.256,-0.142,0.404,"5.74e-01","7.90e-01","No","ENSG00000233797",NA,NA,NA,NA
"LOC105374101",21.363,-0.142,0.404,"5.75e-01","7.91e-01","No","ENSG00000289469","LOC105374101","3q21.3","ncRNA","uncharacterized LOC105374101"
"ENSG00000219553",16.544,-0.142,0.413,"5.74e-01"," NA","No","ENSG00000219553",NA,NA,NA,NA
"ENSG00000248521",14.081,-0.142,0.432,"5.74e-01"," NA","No","ENSG00000248521",NA,NA,NA,NA
"ENSG00000253088",12.389,-0.142,0.471,"5.59e-01"," NA","No","ENSG00000253088",NA,NA,NA,NA
"ENSG00000285509",11.732,-0.142,0.472,"5.58e-01"," NA","No","ENSG00000285509",NA,NA,NA,NA
"LOC105376713",10.101,-0.142,0.467,"5.60e-01"," NA","No","ENSG00000259617","LOC105376713","15q15.1","ncRNA","uncharacterized LOC105376713"
"PTP4A1P3",15.692,-0.142,0.423,"5.76e-01"," NA","No","ENSG00000226254","PTP4A1P3","7q21.13","pseudo","PTP4A1 pseudogene 3"
"RB1-DT",6.773,-0.142,0.504,"5.27e-01"," NA","No","ENSG00000231473","RB1-DT","13q14.2","ncRNA","RB1 divergent transcript"
"PCDH11X",107.417,-0.143,0.569,"3.17e-01","5.97e-01","No","ENSG00000102290","PCDH11X","Xq21.31","protein-coding","protocadherin 11 X-linked"
"PCDH11X",107.417,-0.143,0.569,"3.17e-01","5.97e-01","No","ENSG00000099715",NA,NA,NA,NA
"RNU2-14P",35.074,-0.143,0.551,"4.10e-01","6.77e-01","No","ENSG00000222985","RNU2-14P","14q23.3","pseudo","RNA, U2 small nuclear 14, pseudogene"
"RAPH1",422.125,-0.143,0.259,"4.68e-01","7.21e-01","No","ENSG00000173166","RAPH1","2q33.2","protein-coding","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1"
"DAAM1",1500.473,-0.143,0.264,"4.75e-01","7.26e-01","No","ENSG00000100592","DAAM1","14q23.1","protein-coding","dishevelled associated activator of morphogenesis 1"
"TOGARAM1",567.056,-0.143,0.265,"4.78e-01","7.27e-01","No","ENSG00000198718","TOGARAM1","14q21.2","protein-coding","TOG array regulator of axonemal microtubules 1"
"NCOA6",678.625,-0.143,0.276,"4.90e-01","7.35e-01","No","ENSG00000198646","NCOA6","20q11.22","protein-coding","nuclear receptor coactivator 6"
"RBX1",122.545,-0.143,0.283,"5.01e-01","7.43e-01","No","ENSG00000100387","RBX1","22q13.2","protein-coding","ring-box 1"
"TRIT1",420.692,-0.143,0.286,"5.02e-01","7.44e-01","No","ENSG00000043514","TRIT1","1p34.2","protein-coding","tRNA isopentenyltransferase 1"
"HAUS6",166.723,-0.143,0.289,"5.05e-01","7.46e-01","No","ENSG00000147874","HAUS6","9p22.1","protein-coding","HAUS augmin like complex subunit 6"
"UAP1",136.751,-0.143,0.289,"5.08e-01","7.47e-01","No","ENSG00000117143","UAP1","1q23.3","protein-coding","UDP-N-acetylglucosamine pyrophosphorylase 1"
"OSTF1",120.428,-0.143,0.296,"5.15e-01","7.52e-01","No","ENSG00000134996","OSTF1","9q21.13","protein-coding","osteoclast stimulating factor 1"
"TRPS1",266.176,-0.143,0.3,"5.18e-01","7.54e-01","No","ENSG00000104447","TRPS1","8q23.3","protein-coding","transcriptional repressor GATA binding 1"
"TENT2",428.599,-0.143,0.318,"5.34e-01","7.64e-01","No","ENSG00000164329","TENT2","5q14.1","protein-coding","terminal nucleotidyltransferase 2"
"BCL6",141.021,-0.143,0.364,"5.62e-01","7.82e-01","No","ENSG00000113916","BCL6","3q27.3","protein-coding","BCL6 transcription repressor"
"MTND5P11",27.908,-0.143,0.436,"5.69e-01","7.87e-01","No","ENSG00000248923","MTND5P11","5q31.1","pseudo","MT-ND5 pseudogene 11"
"ENSG00000303086",27.526,-0.143,0.432,"5.71e-01","7.88e-01","No","ENSG00000303086",NA,NA,NA,NA
"ENSG00000309832",39.197,-0.143,0.402,"5.72e-01","7.89e-01","No","ENSG00000309832",NA,NA,NA,NA
"ENSG00000299842",20.918,-0.143,0.42,"5.72e-01","7.89e-01","No","ENSG00000299842",NA,NA,NA,NA
"ENSG00000270139",23.305,-0.143,0.408,"5.72e-01","7.89e-01","No","ENSG00000270139",NA,NA,NA,NA
"TRBC2",21.458,-0.143,0.424,"5.72e-01","7.89e-01","No","ENSG00000211772","TRBC2","7q34","other","T cell receptor beta constant 2"
"ENSG00000199476",12.553,-0.143,0.466,"5.59e-01"," NA","No","ENSG00000199476",NA,NA,NA,NA
"ENSG00000259915",9.919,-0.143,0.478,"5.53e-01"," NA","No","ENSG00000259915",NA,NA,NA,NA
"ENSG00000275381",8.067,-0.143,0.472,"5.56e-01"," NA","No","ENSG00000275381",NA,NA,NA,NA
"ENSG00000296591",11.1,-0.143,0.461,"5.61e-01"," NA","No","ENSG00000296591",NA,NA,NA,NA
"RINL",12.752,-0.143,0.425,"5.73e-01"," NA","No","ENSG00000187994","RINL","19q13.2","protein-coding","Ras and Rab interactor like"
"KAT6B",1211.81,-0.144,0.256,"4.59e-01","7.14e-01","No","ENSG00000156650","KAT6B","10q22.2","protein-coding","lysine acetyltransferase 6B"
"TEAD1",338.634,-0.144,0.263,"4.71e-01","7.23e-01","No","ENSG00000187079","TEAD1","11p15.3","protein-coding","TEA domain transcription factor 1"
